mij_mii,mij
1,.7997827
.1417423,.113363
.0002372,.0001897
.0054982,.0043974
8.32e-06,6.66e-06
.0000624,.0000499
.0000624,.0000499
.0036835,.002946
.0000208,.0000166
.0001415,.0001132
.0000832,.0000666
.0105386,.0084286
4.16e-06,3.33e-06
.0002497,.0001997
.0000157,.0000126
.0001165,.0000932
.0000241,.0000193
.000179,.0001431
8.32e-06,6.66e-06
.0010072,.0008056
.0000375,.00003
.0002622,.0002097
.0000999,.0000799
.0008699,.0006957
.0000791,.0000632
.0004828,.0003861
.0000291,.0000233
.0001873,.0001498
8.32e-06,6.66e-06
.0002372,.0001897
.0021144,.001691
.0263922,.0211081
.0000957,.0000766
.0003455,.0002763
.0000166,.0000133
.0001831,.0001465
.0001082,.0000865
.0009823,.0007856
8.32e-06,6.66e-06
.0002164,.0001731
.0000126,.0000101
.0000583,.0000466
.000308,.0002463
.0018688,.0014946
.0038125,.0030492
.022176,.017736
.0000208,.0000166
.0002872,.0002297
.0000125,9.99e-06
.0005369,.0004294
8.32e-06,6.66e-06
.000179,.0001431
.0000624,.0000499
.0012778,.0010219
.0003413,.000273
.0012611,.0010086
.0000125,9.99e-06
.000333,.0002663
.0005952,.000476
.0207359,.0165842
.0591803,.0537394
1,.9080626
.0000376,.0000342
.0023514,.0021352
.0000879,.0000798
.0001538,.0001397
.0001136,.0001032
.0019339,.0017561
.0000198,.0000179
.0000659,.0000599
.0001029,.0000934
.008988,.0081617
.0000182,.0000165
.0001099,.0000998
.000022,.00002
.0001099,.0000998
.0000188,.0000171
.0004175,.0003791
.000022,.00002
.0003077,.0002794
.000022,.00002
.0001099,.0000998
.0000879,.0000798
.0003956,.0003592
.0002343,.0002128
.0004175,.0003791
.000044,.0000399
.0002637,.0002395
.0000575,.0000522
.0000659,.0000599
.0003736,.0003392
.0074278,.0067449
.0001238,.0001124
.0002417,.0002195
.0000215,.0000195
.0002857,.0002594
.0000647,.0000588
.0002637,.0002395
.0000179,.0000162
.0000879,.0000798
9.84e-06,8.94e-06
.0000879,.0000798
.0001758,.0001596
.0006593,.0005987
.0002198,.0001996
.0083068,.0075431
.0000286,.000026
.0004175,.0003791
.0000704,.0000639
.0001319,.0001197
.000022,.00002
.0003516,.0003193
.0000342,.0000311
.0001319,.0001197
.0000616,.0000559
.0005274,.0004789
.0000236,.0000214
.0003736,.0003392
.0000879,.0000798
.0048566,.0044101
.0000205,9.15e-06
.000061,.0000272
1,.4466149
1.228334,.5485921
5.47e-06,2.44e-06
.0001262,.0000563
8.36e-06,3.73e-06
.0000921,.0000411
.0000134,5.99e-06
.0001262,.0000563
.0000129,5.74e-06
.0003785,.000169
3.00e-06,1.34e-06
.0000214,9.57e-06
2.50e-06,1.12e-06
.0002523,.0001127
3.67e-06,1.64e-06
.0001262,.0000563
.00164,.0007324
.0005046,.0002254
.0000572,.0000256
.0001262,.0000563
.0003785,.000169
.0003785,.000169
.0001262,.0000563
.000077,.0000344
4.28e-06,1.91e-06
.0000262,.0000117
.0001262,.0000563
.0009707,.0004335
.0000898,.0000401
.0002523,.0001127
5.41e-06,2.42e-06
.0000193,8.62e-06
.0000477,.0000213
.0001883,.0000841
.0002385,.0001065
.0014057,.0006278
.000018,8.03e-06
.0000494,.0000221
7.14e-06,3.19e-06
.0000263,.0000118
.0005046,.0002254
.0001262,.0000563
.0000133,5.93e-06
.0001262,.0000563
.0001262,.0000563
.0001071,.0000478
.000119,.0000532
.0005906,.0002638
9.27e-06,4.14e-06
.0001262,.0000563
.0002523,.0001127
.0001262,.0000563
.0000491,.0000219
.0001639,.0000732
6.80e-06,3.03e-06
.0001262,.0000563
.000016,7.16e-06
.0001262,.0000563
.0000148,.0000145
.0000866,.0000846
.0100984,.0098681
1,.9771966
3.95e-06,3.86e-06
.0000866,.0000846
6.04e-06,5.90e-06
.0002308,.0002256
9.68e-06,9.46e-06
.0000866,.0000846
9.29e-06,9.08e-06
.0021639,.0021146
2.16e-06,2.11e-06
.0000155,.0000151
1.81e-06,1.76e-06
.0001154,.0001128
2.65e-06,2.59e-06
.0000164,.000016
.0002308,.0002256
.002943,.0028758
.0000577,.0000564
.0001443,.000141
.0000247,.0000241
.0002885,.0002819
8.90e-06,8.70e-06
.0001154,.0001128
3.09e-06,3.02e-06
.0001443,.000141
.0001928,.0001884
.0001731,.0001692
.0000289,.0000282
.0001443,.000141
3.91e-06,3.82e-06
.0000289,.0000282
.0000345,.0000337
.0000289,.0000282
.0001723,.0001683
.0001731,.0001692
.000013,.0000127
.0000357,.0000349
5.15e-06,5.04e-06
.0000577,.0000564
.0000866,.0000846
.0001443,.000141
9.59e-06,9.37e-06
.0010387,.001015
9.31e-06,9.10e-06
.0001443,.000141
.000086,.000084
.0003751,.0003665
6.69e-06,6.54e-06
.0001731,.0001692
.0020817,.0020343
.0006059,.0005921
.0000355,.0000347
.0001443,.000141
4.91e-06,4.80e-06
.0001731,.0001692
.0000116,.0000113
.000202,.0001974
.0000176,.0000143
.0001142,.0000932
.0000703,.0000574
.0013709,.0011186
1,.8159266
.14553,.1187418
.000167,.0001362
.0067756,.0055284
.0001529,.0001247
.0001845,.0001506
.0006591,.0005378
.0324015,.0264373
.0001332,.0001087
.0002021,.0001649
.000123,.0001004
.0021443,.0017496
.0000703,.0000574
.0003515,.0002868
.0000176,.0000143
.0003779,.0003083
.0000248,.0000202
.0000264,.0000215
.0000264,.0000215
.0002373,.0001936
.0005273,.0004302
.0026979,.0022013
.0000703,.0000574
.0005888,.0004804
.0000439,.0000359
.0000967,.0000789
.0001758,.0001434
.0023113,.0018858
.0000176,.0000143
.0000703,.0000574
8.79e-06,7.17e-06
.0000352,.0000287
.0000317,.0000259
.0003779,.0003083
.0000792,.0000646
.0000527,.000043
.0000718,.0000586
.0001142,.0000932
.0000264,.0000215
.0005712,.0004661
.0001318,.0001076
.0020652,.001685
.0001594,.0001301
.0001933,.0001577
.0000176,.0000143
.0002988,.0002438
.0005449,.0004446
.004104,.0033486
.0000176,.0000143
.0002636,.0002151
.0016258,.0013265
.001907,.001556
.000123,.0001004
.0056156,.0045819
.000123,.0001004
.0092626,.0075576
.0000405,.0000373
.0001214,.0001119
.0000145,.0000134
.0012141,.0011189
.0457728,.0421842
1,.9216004
.0000458,.0000422
.0014974,.00138
.0001074,.0000989
.0001214,.0001119
.0000809,.0000746
.0131531,.0121219
.0000936,.0000862
.0002024,.0001865
.000349,.0003217
.0013355,.0012308
.0000405,.0000373
.0004857,.0004476
.000039,.000036
.0004452,.0004103
.0000174,.000016
.0000555,.0000512
.0000595,.0000548
.0002428,.0002238
.0001589,.0001464
.0012141,.0011189
.0001389,.000128
.0003238,.0002984
.0000401,.0000369
.0000405,.0000373
.0000809,.0000746
.0011332,.0010443
.0000435,.0000401
.0001619,.0001492
9.95e-06,9.17e-06
.0000393,.0000362
.0000223,.0000205
.0000405,.0000373
.0000556,.0000512
.0001214,.0001119
.0000504,.0000465
.0000405,.0000373
.0000739,.0000681
.0003642,.0003357
.0000175,.0000162
.000769,.0007087
.000112,.0001032
.0003642,.0003357
.0000405,.0000373
.0001619,.0001492
.0004452,.0004103
.0078514,.0072358
.0000102,9.44e-06
.0003642,.0003357
.0000405,.0000373
.0010927,.0010071
.0002658,.000245
.0019426,.0017903
.0000405,.0000373
.0018617,.0017157
.0000257,.0000156
.0007199,.0004369
.0000201,.0000122
.0035353,.0021454
.0000771,.0000468
.0004114,.0002496
1,.606856
.591307,.3588382
.0000129,7.80e-06
.0003985,.0002418
.0004628,.0002809
.0212632,.0129037
.0000514,.0000312
.0009127,.0005539
.0000257,.0000156
.0005785,.0003511
.0001543,.0000936
.0003985,.0002418
.0000129,7.80e-06
.0008356,.0005071
.000039,.0000236
.0001671,.0001014
.0000129,7.80e-06
