dni_ag,dni_na,dni_asym_ag,dni_asym_na,dni_dist_ag,dni_dist_na
1,1,1,1,1,1
.9917769,.8496651,1.077056,.9082343,.4423673,.8843557
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
1.14382,.839093,1.50348,.875497,.4407681,.8838732
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
1.14382,.839093,1.50348,.875497,.4407681,.8838732
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
1.14382,.839093,1.50348,.875497,.4407681,.8838732
.7264863,.8205331,.6840453,.8636752,.4544736,.8879608
1.118156,.8483741,1.006333,.8736659,.4141888,.8756285
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
.9176956,.8857723,1.009847,.9583098,.459203,.889347
1,1,1,1,1,1
1.118156,.8483741,1.006333,.8736659,.4141888,.8756285
1.118156,.8483741,1.006333,.8736659,.4141888,.8756285
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
.7264863,.8205331,.6840453,.8636752,.4544736,.8879608
.9176956,.8857723,1.009847,.9583098,.459203,.889347
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
1,1,1,1,1,1
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
.9917769,.8496651,1.077056,.9082343,.4423673,.8843557
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
.9176956,.8857723,1.009847,.9583098,.459203,.889347
.8444029,.7548478,.7662873,.7460406,1,1
.9917769,.8496651,.9132501,.7948729,.4423673,.8843557
1,1,1,1,1,1
.7568036,.8976752,.6442991,.8568744,.4130386,.8752617
.954662,.9095961,1.155488,.8878569,.4097124,.8741959
1.11379,.8152875,.921186,.7325647,.4288366,.8802258
.954662,.9095961,1.155488,.8878569,.4097124,.8741959
.7568036,.8976752,.6442991,.8568744,.4130386,.8752617
.7568036,.8976752,.6442991,.8568744,.4130386,.8752617
.954662,.9095961,1.155488,.8878569,.4097124,.8741959
.7231867,.9171982,.6270232,.9031658,.4996775,.9007388
1.108727,.8698963,.918839,.8380603,.4495634,.8865086
.9917769,.8496651,.9132501,.7948729,.4423673,.8843557
.9917769,.8496651,.9132501,.7948729,.4423673,.8843557
.9917769,.8496651,.9132501,.7948729,.4423673,.8843557
1.11379,.8152875,.921186,.7325647,.4288366,.8802258
.7778713,.8949987,.7882074,.9058496,.4420353,.8842557
.9917769,.8496651,.9132501,.7948729,.4423673,.8843557
1.108727,.8698963,.918839,.8380603,.4495634,.8865086
1.108727,.8698963,.918839,.8380603,.4495634,.8865086
1.11379,.8152875,.921186,.7325647,.4288366,.8802258
1.11379,.8152875,.921186,.7325647,.4288366,.8802258
.7231867,.9171982,.6270232,.9031658,.4996775,.9007388
.7778713,.8949987,.7882074,.9058496,.4420353,.8842557
1.11379,.8152875,.921186,.7325647,.4288366,.8802258
.9917769,.8496651,.9132501,.7948729,.4423673,.8843557
.7568036,.8976752,.6442991,.8568744,.4130386,.8752617
1,1,1,1,1,1
1.11379,.8152875,.921186,.7325647,.4288366,.8802258
.7568036,.8976752,.6442991,.8568744,.4130386,.8752617
.7778713,.8949987,.7882074,.9058496,.4420353,.8842557
.8627983,.8542838,.7209861,.7898691,1,1
.9405894,.8206156,1.017353,.804251,.4381287,.8830736
.7568036,.8976752,.8889531,.9404186,.4130386,.8752617
1,1,1,1,1,1
.9890374,.8260037,1.406126,.8446531,.435199,.8821813
.7862852,.825208,.7638707,.7767846,.4212756,.8778697
.9890374,.8260037,1.406126,.8446531,.435199,.8821813
1,1,1,1,1,1
1,1,1,1,1,1
.9890374,.8260037,1.406126,.8446531,.435199,.8821813
.6236694,.808666,.6351601,.8342101,.4176882,.8767392
.872143,.8855763,.8489817,.8937906,.3948067,.869328
.9405894,.8206156,1.017353,.804251,.4381287,.8830736
.9405894,.8206156,1.017353,.804251,.4381287,.8830736
.9405894,.8206156,1.017353,.804251,.4381287,.8830736
.7862852,.825208,.7638707,.7767846,.4212756,.8778697
.920264,.9101661,1.095319,.9650645,.4191647,.8772055
.9405894,.8206156,1.017353,.804251,.4381287,.8830736
.872143,.8855763,.8489817,.8937906,.3948067,.869328
.872143,.8855763,.8489817,.8937906,.3948067,.869328
